Company,Year,Category,Market Cap,Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Shareholder Equity
Apple,2019,Technology,1287000,260174,98392,55256,2.97,76477,90488
Apple,2020,Technology,2255000,274515,104956,57411,3.28,77344,65339
Apple,2021,Technology,2913000,365817,152836,94680,5.61,120233,63090
Apple,2022,Technology,2066000,394328,170782,99803,6.15,130541,50672
Apple,2023,Technology,2994000,383285,169148,96995,6.13,125820,62146
Apple,2024,Technology,3500000,391035,180683,101956,6.75,134661,74100
Microsoft,2019,Technology,1200000,125843,82933,39240,5.06,54893,102330
Microsoft,2020,Technology,1650000,143015,96937,44281,5.76,68423,118304
Microsoft,2021,Technology,2350000,168088,115856,61271,8.05,85078,141988
Microsoft,2022,Technology,1790000,198270,135620,72738,9.65,100239,166542
Microsoft,2023,Technology,2790000,211915,146052,72361,9.68,105147,206223
Microsoft,2024,Technology,3100000,245122,171008,88136,11.8,128500,268477
Amazon,2019,E-Commerce,920000,280522,114986,11588,2.29,38054,62060
Amazon,2020,E-Commerce,1630000,386064,152757,21331,4.15,54371,93404
Amazon,2021,E-Commerce,1690000,469822,197478,33364,6.46,68123,138245
Amazon,2022,E-Commerce,850000,513983,225152,-2722,-0.53,54039,146043
Amazon,2023,E-Commerce,1580000,574785,270046,30425,2.9,89469,201875
Amazon,2024,E-Commerce,2000000,637959,300201,59248,5.53,111583,285970
Tesla,2019,Automotive,75700,24578,4069,-862,-0.53,2098,6618
Tesla,2020,Automotive,669900,31536,6630,721,0.64,4924,22225
Tesla,2021,Automotive,1061000,53823,13606,5519,4.9,9598,30189
Tesla,2022,Automotive,389000,81462,20853,12556,4.02,17656,44704
Tesla,2023,Automotive,789900,96773,17660,14997,4.3,14796,62634
Tesla,2024,Automotive,1290000,97690,17450,7091,2.04,13000,72913
